title,genre,premiere,runtime,imdb_score,language,year
Enter the Anime,Documentary,2019-08-05,58.0,2.5,English/Japanese,2019
Dark Forces,Thriller,2020-08-21,81.0,2.6,Spanish,2020
The App,Science fiction/Drama,2019-12-26,79.0,2.6,Italian,2019
The Open House,Horror thriller,2018-01-19,94.0,3.2,English,2018
Kaali Khuhi,Mystery,2020-10-30,90.0,3.4,Hindi,2020
Drive,Action,2019-11-01,147.0,3.5,Hindi,2019
Leyla Everlasting,Comedy,2020-12-04,112.0,3.7,Turkish,2020
The Last Days of American Crime,Heist film/Thriller,2020-06-05,149.0,3.7,English,2020
Paradox,Musical/Western/Fantasy,2018-03-23,73.0,3.9,English,2018
Sardar Ka Grandson,Comedy,2021-05-18,139.0,4.1,Hindi,2021
Searching for Sheela,Documentary,2021-04-22,58.0,4.1,English,2021
The Call,Drama,2020-11-27,112.0,4.1,Korean,2020
Whipped,Romantic comedy,2020-09-18,97.0,4.1,Indonesian,2020
All Because of You,Action comedy,2020-10-01,101.0,4.2,Malay,2020
Mercy,Thriller,2016-11-22,90.0,4.2,English,2016
After the Raid,Documentary,2019-12-19,25.0,4.3,Spanish,2019
The Last Thing He Wanted,Political thriller,2020-02-21,115.0,4.3,English,2020
What Happened to Mr. Cha?,Comedy,2021-01-01,102.0,4.3,Korean,2021
Death Note,Horror thriller,2017-08-25,100.0,4.4,English,2017
"Hello Privilege. It's Me, Chelsea",Documentary,2019-09-13,64.0,4.4,English,2019
Secret Obsession,Thriller,2019-07-18,97.0,4.4,English,2019
Sextuplets,Comedy,2019-08-16,99.0,4.4,English,2019
The Girl on the Train,Thriller,2021-02-26,120.0,4.4,Hindi,2021
Thunder Force,Superhero-Comedy,2021-04-09,105.0,4.4,English,2021
Fatal Affair,Thriller,2020-07-16,89.0,4.5,English,2020
Just Say Yes,Romantic comedy,2021-04-02,97.0,4.5,Dutch,2021
Seriously Single,Comedy,2020-07-31,107.0,4.5,English,2020
The Misadventures of Hedi and Cokeman,Comedy,2021-02-10,99.0,4.5,French,2021
5 Star Christmas,Comedy,2018-12-07,95.0,4.6,Italian,2018
After Maria,Documentary,2019-05-24,37.0,4.6,English/Spanish,2019
I Am the Pretty Thing That Lives in the House,Horror,2016-10-28,89.0,4.6,English,2016
Paris Is Us,Romance drama,2019-02-22,83.0,4.6,French,2019
Porta dos Fundos: The First Temptation of Christ,Comedy,2019-12-03,46.0,4.6,Portuguese,2019
Rattlesnake,Horror,2019-10-25,85.0,4.6,English,2019
The Players,Comedy,2020-07-15,88.0,4.6,Italian,2020
We Are One,Documentary,2020-07-14,86.0,4.6,French,2020
Finding Agnes,Drama,2020-11-30,105.0,4.7,Filipino,2020
IO,Science fiction/Drama,2019-01-18,95.0,4.7,English,2019
Sentinelle,Action,2021-03-05,80.0,4.7,French,2021
Sol Levante,Anime / Short,2020-04-02,4.0,4.7,English,2020
The Binding,Drama,2020-10-02,93.0,4.7,Italian,2020
We Can Be Heroes,Superhero,2020-12-25,100.0,4.7,English,2020
Christmas Crossfire,Thriller,2020-12-04,106.0,4.8,German,2020
Coin Heist,Heist,2017-01-06,97.0,4.8,English,2017
Mrs. Serial Killer,Thriller,2020-05-01,106.0,4.8,Hindi,2020
Nobody Sleeps in the Woods Tonight,Horror,2020-10-28,103.0,4.8,Polish,2020
Take the 10,Comedy,2017-01-20,80.0,4.8,English,2017
The Main Event,Comedy,2020-04-10,101.0,4.8,English,2020
